quarter,gdp_growth,inflation,unemployment,interest_rate,fiscal_balance,current_account,housing_price_index,consumer_confidence,investment_flow,exchange_rate,geopolitical_tension_index,sanctions_exposure,alliance_stability
2020Q1,2.0,2.6,3.3,2.54,1.2,-0.5,201.0,103.0,129.3,1.42,0.25,0.12,0.94
2020Q2,2.1,2.6,3.2,2.48,1.2,-0.5,201.0,102.9,131.1,1.44,0.16,0.07,0.96
2020Q3,3.2,2.4,2.9,2.46,0.7,-0.4,201.2,105.5,136.5,1.43,0.23,0.11,0.93
2020Q4,3.1,2.4,3.0,2.47,0.5,-0.6,199.8,104.3,136.6,1.46,0.25,0.14,0.96
2021Q1,3.6,1.9,2.8,2.25,0.3,-0.6,198.9,105.4,139.6,1.42,0.26,0.13,0.93
2021Q2,3.1,1.6,3.0,2.18,0.6,-0.6,198.1,105.2,136.0,1.43,0.27,0.17,0.93
2021Q3,3.4,1.7,2.8,2.14,0.5,-0.5,198.7,105.1,136.1,1.42,0.30,0.16,0.93
2021Q4,4.2,1.4,2.7,2.10,0.1,-0.7,199.0,107.0,140.7,1.42,0.28,0.18,0.96
2022Q1,2.8,0.9,3.3,1.81,0.9,-0.7,195.5,103.9,133.4,1.41,0.32,0.19,0.94
2022Q2,2.9,0.8,3.2,1.76,1.2,-0.5,193.5,105.0,135.7,1.41,0.33,0.14,0.94
2022Q3,2.1,0.9,3.2,1.85,1.5,-0.8,194.7,101.3,130.9,1.39,0.33,0.18,0.92
2022Q4,1.2,0.9,3.6,1.83,1.7,-0.6,195.5,100.4,126.9,1.41,0.35,0.13,0.93
2023Q1,0.6,1.2,3.8,2.08,2.0,-0.6,195.6,99.7,122.5,1.40,0.40,0.19,0.90
2023Q2,0.3,1.5,3.9,2.10,2.1,-0.4,197.6,98.9,121.1,1.43,0.42,0.23,0.92
2023Q3,1.1,1.4,3.4,1.94,1.8,-0.7,196.7,100.2,126.3,1.43,0.44,0.23,0.93
2023Q4,0.7,1.7,3.5,2.19,2.1,-0.6,197.9,99.5,124.6,1.43,0.41,0.19,0.88
2024Q1,0.7,2.2,3.7,2.34,2.2,-0.4,199.8,99.4,122.3,1.42,0.47,0.26,0.91
2024Q2,1.2,2.5,3.5,2.52,1.8,-0.5,200.4,100.4,126.6,1.44,0.44,0.22,0.89
2024Q3,1.2,2.5,3.5,2.56,1.7,-0.4,200.8,100.8,127.5,1.45,0.47,0.25,0.94
2024Q4,0.9,2.4,3.5,2.43,1.9,-0.4,201.4,99.6,124.2,1.44,0.49,0.23,0.92
